"Family","No.","English Name","Scientific Name","Malay Name","Chinese Name","Review Species","Category","Local Status","RDB 3 Status","","","","","","","","","","","","","","","","","",""
"","172","Striated Heron","Butorides striata","Pucung-Bakau Biasa","绿鹭","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","173","Indian Pond Heron","Ardeola grayii","Pucung-Padi Kelabu","印度池鹭","Yes","A","Mi","NE","","","","","","","","","","","","","","","","","",""
"","174","Chinese Pond Heron","Ardeola bacchus","Pucung-Padi Cina","池鹭","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","175","Javan Pond Heron","Ardeola speciosa","Pucung-Padi Emas","爪哇池鹭","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","176","Eastern Cattle Egret","Bubulcus coromandus","Bangau Pendek Timur","牛背鹭","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","177","Grey Heron","Ardea cinerea","Pucung Seriap Biasa","苍鹭","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","178","Great-billed Heron","Ardea sumatrana","Pucung Seriap Lembu","大嘴鹭","","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","179","Purple Heron","Ardea purpurea","Pucung Serandau","草鹭","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"","180","Great Egret","Ardea alba","Bangau Besar","大白鹭","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","181","Intermediate Egret","Ardea intermedia","Bangau Sederhana","中白鹭","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","182","Little Egret","Egretta garzetta","Bangau Kecil","白鹭","","A","Mi/Vis","LC","","","","","","","","","","","","","","","","","",""
"","183","Pacific Reef Heron","Egretta sacra","Bangau Batu Pasifik","岩鹭","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"","184","Chinese Egret","Egretta eulophotes","Bangau Cina","黄嘴白鹭","Yes","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"Ospreys (Pandionidae)","185","Osprey","Pandion haliaetus","Helang-Tiram Biasa","鹗","","A","Mi/Vis","LC","","","","","","","","","","","","","","","","","",""
"Kites, Hawks, Eagles (Accipitridae)","186","Black-winged Kite","Elanus caeruleus","Helang-Tikus Biasa","黑翅鸢","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","187","Crested Honey Buzzard","Pernis ptilorhynchus","Helang-Lebah Asia","凤头蜂鹰","","A","Mi/Vis","LC","","","","","","","","","","","","","","","","","",""
"","188","Jerdon's Baza","Aviceda jerdoni","Helang-Gerigi Perang","褐冠鹃隼","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","189","Black Baza","Aviceda leuphotes","Helang-Gerigi Hitam","黑冠鹃隼","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","190","Himalayan Vulture","Gyps himalayensis","Hering Himalaya","高山兀鹫","Yes","A","Vagr","NT","","","","","","","","","","","","","","","","","",""
"","191","Cinereous Vulture","Aegypius monachus","Hering Hitam","秃鹫","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","192","Crested Serpent Eagle","Spilornis cheela","Helang-Kuik Biasa","蛇雕","","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","193","Short-toed Snake Eagle","Circaetus gallicus","Helang-Ular Utara","短趾雕","Yes","A","Vagr","LC","","","","","","","","","","","","","","","","","",""
"","194","Bat Hawk","Macheiramphus alcinus","Helang Malam","食蝠鸢","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"","195","Changeable Hawk-Eagle","Nisaetus cirrhatus","Helang-Hindik Biasa","凤头鹰雕","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","196","Rufous-bellied Eagle","Lophotriorchis kienerii","Helang Perut Merah","棕腹隼雕","","A","Mi/Vis","LC","","","","","","","","","","","","","","","","","",""
"","197","Greater Spotted Eagle","Clanga clanga","Helang-Bintik Besar","乌雕","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","198","Booted Eagle","Hieraaetus pennatus","Helang Junam Kecil","靴隼雕","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","199","Steppe Eagle","Aquila nipalensis","Helang Gurun","草原雕","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","200","Eastern Imperial Eagle","Aquila heliaca","Helang Tengkuk Kuning Biasa","白肩雕","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","201","Crested Goshawk","Accipiter trivirgatus","Helang-Sewah Besar Berjambul","凤头鹰","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","202","Shikra","Accipiter badius","Helang-Sewah Pudar","褐耳鹰","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","203","Chinese Sparrowhawk","Accipiter soloensis","Helang-Sewah Cina","赤腹鹰","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","204","Japanese Sparrowhawk","Accipiter gularis","Helang-Sewah Jepun","日本松雀鹰","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","205","Besra","Accipiter virgatus","Helang-Sewah Gunung Asia","松雀鹰","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","206","Eurasian Sparrowhawk","Accipiter nisus","Helang-Sewah Erasia","雀鹰","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","207","Eastern Marsh Harrier","Circus spilonotus","Helang-Sawah Biasa","白腹鹞","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","208","Pied Harrier","Circus melanoleucos","Helang-Sawah Hitam-Putih","鹊鹞","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","209","Black Kite","Milvus migrans","Helang-Kembara Hitam","黑鸢","","A","Mi","EN","","","","","","","","","","","","","","","","","",""
"","210","Brahminy Kite","Haliastur indus","Helang-Tembikar Merah","栗鸢","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","211","White-bellied Sea Eagle","Icthyophaga leucogaster","Helang-Laut Putih","白腹海雕","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","212","Grey-headed Fish Eagle","Icthyophaga ichthyaetus","Helang-Kanguk Besar","灰头渔雕","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","213","Grey-faced Buzzard","Butastur indicus","Helang-Rintik Utara","灰脸鵟鹰","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","214","Eastern Buzzard","Buteo japonicus","Helang-Gempal Biasa","普通鵟","Yes","A","Mi","NE","","","","","","","","","","","","","","","","","",""
"","215","Common Buzzard","Buteo buteo","Helang-Gempal Erasia","欧亚鵟","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"Barn Owls (Tytonidae)","216","Eastern Barn Owl","Tyto javanica","Serak Biasa","仓鸮","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Owls (Strigidae)","217","Northern Boobook","Ninox japonica","Pungguk Betemak Utara","北鹰鸮","Yes","A","Mi","DD","","","","","","","","","","","","","","","","","",""
"","218","Brown Boobook","Ninox scutulata","Pungguk Betemak Biasa","鹰鸮","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","219","Oriental Scops Owl","Otus sunia","Jampuk Kecil Asia","红角鸮","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","220","Sunda Scops Owl","Otus lempiji","Jampuk Biasa","巽他领角鸮","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","221","Short-eared Owl","Asio flammeus","Burung-Hantu Telinga-Pendek Biasa","短耳鸮","Yes","A","Vagr","LC","","","","","","","","","","","","","","","","","",""
"","222","Buffy Fish Owl","Ketupa ketupu","Tumbuk-Ketampi Biasa","马来渔鸮","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","223","Barred Eagle-Owl","Ketupa sumatrana","Burung-Hantu Bertanduk Belang Melayu","马来雕鸮","Yes","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","224","Spotted Wood Owl","Strix seloputo","Carik-Kafan Berbintik Asia","点斑林鸮","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","225","Brown Wood Owl","Strix leptogrammica","Carik-Kafan Coklat","褐林鸮","Yes","A","Vis","CR","","","","","","","","","","","","","","","","","",""
"Hornbills (Bucerotidae)","226","White-crowned Hornbill","Berenicornis comatus","Enggang Bulu","白冠犀鸟","Yes","A","Vis","NE","","","","","","","","","","","","","","","","","",""
"","227","Oriental Pied Hornbill","Anthracoceros albirostris","Kelingking Biasa","冠斑犀鸟","","A/C","Res/Intr","NT","","","","","","","","","","","","","","","","","",""
"","228","Black Hornbill","Anthracoceros malayanus","Kelingking Hitam","黑斑犀鸟","Yes","A","Vis","NT","","","","","","","","","","","","","","","","","",""
"Rollers (Coraciidae)","229","Oriental Dollarbird","Eurystomus orientalis","Tiung-Batu Biasa","三宝鸟","","A","Res/Mi","LC","","","","","","","","","","","","","","","","","",""
"Kingfishers (Alcedinidae)","230","Stork-billed Kingfisher","Pelargopsis capensis","Pekaka-Emas Biasa","鹳嘴翡翠","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","231","Ruddy Kingfisher","Halcyon coromanda","Pekaka Belacan","赤翡翠","","A","Mi/Vis","CR","","","","","","","","","","","","","","","","","",""
"","232","White-throated Kingfisher","Halcyon smyrnensis","Pekaka Dada Putih","白胸翡翠","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","233","Black-capped Kingfisher","Halcyon pileata","Pekaka Ubun Hitam","蓝翡翠","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","234","Collared Kingfisher","Todiramphus chloris","Pekaka Bakau Biasa","白领翡翠","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","235","Blue-eared Kingfisher","Alcedo meninting","Rajaudang Meninting","蓝耳翠鸟","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"","236","Common Kingfisher","Alcedo atthis","Rajaudang Cicit","普通翠鸟","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","237","Oriental Dwarf Kingfisher","Ceyx erithaca","Rajaudang-Api Biasa","三趾翠鸟","","A","Mi/Vis","NT","","","","","","","","","","","","","","","","","",""
"","238","Pied Kingfisher","Ceryle rudis","Pekaka-Berjambul Biasa","斑鱼狗","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Bee-eaters (Meropidae)","239","Blue-tailed Bee-eater","Merops philippinus","Berek-berek Zaitun Asia","栗喉蜂虎","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","240","Blue-throated Bee-eater","Merops viridis","Berek-berek Rengkung Biru","蓝喉蜂虎","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Asian Barbets (Megalaimidae)","241","Lineated Barbet","Psilopogon lineatus","Takur Kutub Timur","斑头绿拟啄木鸟","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","242","Red-crowned Barbet","Psilopogon rafflesii","Takur Ubun Merah","花彩拟啄木鸟","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","243","Coppersmith Barbet","Psilopogon haemacephalus","Takur Tukang Biasa","赤胸拟啄木鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Woodpeckers (Picidae)","244","Sunda Pygmy Woodpecker","Yungipicus moluccensis","Belatuk-Belacan Kecil Biasa","巽他啄木鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","245","White-bellied Woodpecker","Dryocopus javensis","Belatuk-Hitam Perut Putih","白腹黑啄木鸟","Yes","A","Vis/Ex","CR","","","","","","","","","","","","","","","","","",""
"","246","Banded Woodpecker","Chrysophlegma miniaceum","Belatuk-Hijau Merah","红翅绿背啄木鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","247","Crimson-winged Woodpecker","Picus puniceus","Belatuk-Hijau Paruh Kuning","红翅绿啄木鸟","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"","248","Laced Woodpecker","Picus vittatus","Belatuk-Hijau Bakau","花腹绿啄木鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","249","Common Flameback","Dinopium javanense","Belatuk-Pinang Biasa","金背三趾啄木鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","250","Rufous Woodpecker","Micropternus brachyurus","Belatuk Biji Nangka","栗啄木鸟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","251","Buff-rumped Woodpecker","Meiglyptes grammithorax","Belatuk-Batu Biasa","黄腰啄木鸟","Yes","A","Vis/Ex","LC","","","","","","","","","","","","","","","","","",""
"","252","Great Slaty Woodpecker","Mulleripicus pulverulentus","Belatuk-Kelabu Besar","大灰啄木鸟","Yes","A","Vis","VU","","","","","","","","","","","","","","","","","",""
"Caracaras, Falcons (Falconidae)","253","Black-thighed Falconet","Microhierax fringillarius","Rajawali-Belalang Melayu","黑腿小隼 ","Yes","A","Vis/Ex","LC","","","","","","","","","","","","","","","","","",""
"","254","Lesser Kestrel","Falco naumanni","Rajawali-Padang Cakar Pudar","黄爪隼","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","255","Common Kestrel","Falco tinnunculus","Rajawali-Padang Biasa","红隼","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","256","Amur Falcon","Falco amurensis","Rajawali Kaki Merah Timur","红脚隼","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","257","Eurasian Hobby","Falco subbuteo","Rajawali Tongkeng Merah Utara","燕隼","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","258","Peregrine Falcon","Falco peregrinus","Rajawali Kembara","游隼","","A","Mi/Vis","LC","","","","","","","","","","","","","","","","","",""
"Cockatoos (Cacatuidae)","259","Tanimbar Corella","Cacatua goffiniana","Kakaktua Tanimbar","戈氏凤头鹦鹉","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"African & New World Parrots (Psittacidae)","260","Monk Parakeet","Myiopsitta monachus","Bayan-Ranting Biasa","灰胸鹦哥","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"Old World Parrots (Psittaculidae)","261","Blue-rumped Parrot","Psittinus cyanurus","Nuri Puling","蓝腰鹦鹉","","A","Res","EN","","","","","","","","","","","","","","","","","",""
"","262","Red-breasted Parakeet","Psittacula alexandri","Bayan Dada Merah","绯胸鹦鹉","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","263","Long-tailed Parakeet","Psittacula longicauda","Bayan Melayu","长尾鹦鹉","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","264","Rose-ringed Parakeet","Psittacula krameri","Bayan Gelang Biasa","红领绿鹦鹉","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","265","Coconut Lorikeet","Trichoglossus haematodus","Bayan-Madu Pelangi Biasa","椰果鹦鹉","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","266","Blue-crowned Hanging Parrot","Loriculus galgulus","Serindit Melayu","蓝顶短尾鹦鹉","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Typical Broadbills (Eurylaimidae)","267","Black-and-red Broadbill","Cymbirhynchus macrorhynchos","Hujan-hujan Merah","黑红阔嘴鸟","Yes","A","Vis/Ex","CR","","","","","","","","","","","","","","","","","",""
"African & Green Broadbills (Calyptomenidae)","268","Green Broadbill","Calyptomena viridis","Seluwit Biasa","绿阔嘴鸟","Yes","A","Vis","NT","","","","","","","","","","","","","","","","","",""
"Pittas (Pittidae)","269","Blue-winged Pitta","Pitta moluccensis","Burung-Pacat Sayap Biru","蓝翅八色鸫","","A","Res/Mi","LC","","","","","","","","","","","","","","","","","",""
"","270","Mangrove Pitta","Pitta megarhyncha","Burung-Pacat Bakau","红树八色鸫","","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","271","Hooded Pitta","Pitta sordida","Burung-Pacat Hijau","绿胸八色鸫","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","272","Fairy Pitta","Pitta nympha","Burung-Pacat Utara","仙八色鸫","Yes","A","Vagr","DD","","","","","","","","","","","","","","","","","",""
"Australasian Warblers (Acanthizidae)","273","Golden-bellied Gerygone","Gerygone sulphurea","Kelicap-Perepat Asia","黄胸噪刺莺","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"Vangas & Allies (Vangidae)","274","Black-winged Flycatcher-shrike","Hemipus hirundinaceus","Rembah Sayap Hitam","黑翅鹟鵙","Yes","A","Vis","DD","","","","","","","","","","","","","","","","","",""
"","275","Large Woodshrike","Tephrodornis virgatus","Rembah-Rimba Besar","钩嘴林鵙","Yes","A","Vis/Ex","DD","","","","","","","","","","","","","","","","","",""
"Ioras (Aegithinidae)","276","Common Iora","Aegithina tiphia","Kunyit-Kecil Biasa","黑翅雀鹎","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Cuckooshrikes (Campephagidae)","277","Scarlet Minivet","Pericrocotus speciosus","Burung-Matahari Besar Biasa","赤红山椒鸟","Yes","A","Vis/Ex","CR","","","","","","","","","","","","","","","","","",""
"","278","Ashy Minivet","Pericrocotus divaricatus","Burung-Matahari Kelabu Biasa","灰山椒鸟","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","279","Pied Triller","Lalage nigra","Selancang Melayu","黑鸣鹃鵙","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","280","Lesser Cuckooshrike","Lalage fimbriata","Selancang-Kelabu Melayu","缨鹃鵙","Yes","A","Vis/Ex","CR","","","","","","","","","","","","","","","","","",""
"Whistlers & Allies (Pachycephalidae)","281","Mangrove Whistler","Pachycephala cinerea","Murai-Siul Bakau","红树啸鹟","Yes","A","Res","EN","","","","","","","","","","","","","","","","","",""
"Vireos, Greenlets, Shrike-babblers (Vireonidae)","282","White-bellied Erpornis","Erpornis zantholeuca","Kelicap-Berjambul","白腹凤鹛","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"Figbirds, Old World Orioles, Piopios (Oriolidae)","283","Black-naped Oriole","Oriolus chinensis","Kunyit Besar","黑枕黄鹂","","A","Res/Mi","LC","","","","","","","","","","","","","","","","","",""
"Drongos (Dicruridae)","284","Crow-billed Drongo","Dicrurus annectens","Cecawi Paruh Tebal","鸦嘴卷尾","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","285","Greater Racket-tailed Drongo","Dicrurus paradiseus","Cecawi Anting-anting Besar","大盘尾","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","286","Hair-crested Drongo","Dicrurus hottentottus","Cecawi Berambut","发冠卷尾","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","287","Ashy Drongo","Dicrurus leucophaeus","Cecawi Kelabu","灰卷尾","Yes","A","Mi/Vis","LC","","","","","","","","","","","","","","","","","",""
"","288","Black Drongo","Dicrurus macrocercus","Cecawi Sawah","黑卷尾","Yes","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"Fantails (Rhipiduridae)","289","Malaysian Pied Fantail","Rhipidura javanica","Murai-Gila Biasa","斑扇尾鹟","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Monarchs (Monarchidae)","290","Black-naped Monarch","Hypothymis azurea","Murai-Ranting Biasa","黑枕王鹟","Yes","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","291","Indian Paradise Flycatcher","Terpsiphone paradisi","Murai-Gading India","印度寿带","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","292","Blyth's Paradise Flycatcher","Terpsiphone affinis","Murai-Gading Biasa","中南寿带","","A","Mi/Vis","LC","","","","","","","","","","","","","","","","","",""
"","293","Amur Paradise Flycatcher","Terpsiphone incei","Murai-Gading Utara","寿带","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","294","Black Paradise Flycatcher","Terpsiphone atrocaudata","Murai-Gading Ungu","紫寿带","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"Shrikes (Laniidae)","295","Tiger Shrike","Lanius tigrinus","Tirjup Harimau","虎纹伯劳","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","296","Brown Shrike","Lanius cristatus","Tirjup Biasa","红尾伯劳","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","297","Long-tailed Shrike","Lanius schach","Tirjup Ekor Panjang Asia","棕背伯劳","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"Crows, Jays (Corvidae)","298","Malayan Black Magpie","Platysmurus leucopterus","Burung-Kambing Barat","白翅鹊","Yes","A","Vis","NE","","","","","","","","","","","","","","","","","",""
"","299","House Crow","Corvus splendens","Gagak Rumah","家鸦","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","300","Large-billed Crow","Corvus macrorhynchos","Gagak Paruh Besar","大嘴乌鸦","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"Tits, Chickadees (Paridae)","301","Japanese Tit","Parus minor","Seserai Asia Timur","大山雀","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Larks (Alaudidae)","302","Eurasian Skylark","Alauda arvensis","Seriayu Erasia","云雀","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Bulbuls (Pycnonotidae)","303","Cinereous Bulbul","Hemixos cinereus","Merbah-Kelabu Biasa","灰黑短脚鹎","","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"","304","Streaked Bulbul","Ixos malaccensis","Bebarau-Bukit Melayu","纹羽鹎","Yes","A","Vis","NT","","","","","","","","","","","","","","","","","",""
"","305","Black-and-white Bulbul","Microtarsus melanoleucos","Merbah Bahu Putih","黑白鹎","Yes","A","Vis","NT","","","","","","","","","","","","","","","","","",""
"","306","Black-headed Bulbul","Brachypodius melanocephalos","Merbah Siam","黑头鹎","","A","Res","CR","","","","","","","","","","","","","","","","","",""
"","307","Black-crested Bulbul","Rubigula flaviventris","Merbah-Kunyit Jambul Biasa","黑冠黄鹎","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","308","Cream-vented Bulbul","Pycnonotus simplex","Merbah Mata Putih Biasa","白眼褐鹎","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","309","Olive-winged Bulbul","Pycnonotus plumosus","Merbah Telinga Lorek Melayu","橄榄褐鹎","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","310","Asian Red-eyed Bulbul","Pycnonotus brunneus","Merbah Mata Merah Biasa","红眼褐鹎","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","311","Straw-headed Bulbul","Pycnonotus zeylanicus","Barau-barau Raya","黄冠鹎","","A/C","Res/Intr","EN","","","","","","","","","","","","","","","","","",""
"","312","Red-whiskered Bulbul","Pycnonotus jocosus","Merbah Telinga Merah","红耳鹎","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","313","Yellow-vented Bulbul","Pycnonotus goiavier","Merbah Kapur","白眉黄臀鹎","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","314","Sooty-headed Bulbul","Pycnonotus aurigaster","Merbah Ubun Hitam Selatan","白喉红臀鹎","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"Swallows, Martins (Hirundinidae)","315","Sand Martin","Riparia riparia","Layang-layang Perang Belang Biasa","崖沙燕","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","316","Pacific Swallow","Hirundo tahitica","Layang-layang Biasa","洋燕","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","317","Barn Swallow","Hirundo rustica","Layang-layang Hijrah","家燕","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","318","Siberian House Martin","Delichon lagopodum","Layang-layang Gunung Timur","白腹毛脚燕","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","319","Asian House Martin","Delichon dasypus","Layang-layang Gunung Asia","烟腹毛脚燕","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","320","Red-rumped Swallow","Cecropis daurica","Layang-layang Api Utara","金腰燕","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"Leaf Warblers (Phylloscopidae)","321","Yellow-browed Warbler","Phylloscopus inornatus","Cekup-Daun Kecil Biasa","黄眉柳莺","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","322","Dusky Warbler","Phylloscopus fuscatus","Cekup-Daun Perang Rawa","褐柳莺","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","323","Eastern Crowned Warbler","Phylloscopus coronatus","Cekup-Daun Raja Timur","冕柳莺","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","324","Sakhalin Leaf Warbler","Phylloscopus borealoides","Cekup-Daun Kaki Pudar Jepun","库页岛柳莺","Yes","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","325","Pale-legged Leaf Warbler","Phylloscopus tenellipes","Cekup-Daun Kaki Pudar Barat","淡脚柳莺","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","326","Arctic Warbler","Phylloscopus borealis","Cekup-Daun Artik","极北柳莺","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"Reed Warblers & Allies (Acrocephalidae)","327","Oriental Reed Warbler","Acrocephalus orientalis","Cekup-Paya Besar Biasa","东方大苇莺","","A","Mi","VU","","","","","","","","","","","","","","","","","",""
"","328","Black-browed Reed Warbler","Acrocephalus bistrigiceps","Cekup-Paya Kecil Biasa","黑眉苇莺","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","329","Booted Warbler","Iduna caligata","Cekup-Pokok Kecil Utara","靴篱莺","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"Grassbirds & Allies (Locustellidae)","330","Pallas's Grasshopper Warbler","Helopsaltes certhiola","Cekup-Tikus Berjalur Biasa","小蝗莺","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","331","Lanceolated Warbler","Locustella lanceolata","Cekup-Tikus Berjalur Kecil","矛斑蝗莺","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"Cisticolas & Allies (Cisticolidae)","332","Zitting Cisticola","Cisticola juncidis","Cak-Tinting Kecil Biasa","棕扇尾莺","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","333","Yellow-bellied Prinia","Prinia flaviventris","Perenjak-Padi Biasa","黄腹山鹪莺","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","334","Common Tailorbird","Orthotomus sutorius","Perenjak-Pisang Biasa","长尾缝叶莺","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","335","Dark-necked Tailorbird","Orthotomus atrogularis","Perenjak-Pisang Leher Hitam","黑喉缝叶莺","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","336","Rufous-tailed Tailorbird","Orthotomus sericeus","Perenjak-Pisang Ekor Merah","红头缝叶莺","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","337","Ashy Tailorbird","Orthotomus ruficeps","Perenjak-Pisang Kelabu Biasa","灰缝叶莺","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"White-eyes (Zosteropidae)","338","Swinhoe's White-eye","Zosterops simplex","Kelicap Kacamata Biasa","暗绿绣眼鸟","","C","Intr","VU","","","","","","","","","","","","","","","","","",""
"Babblers, Scimitar Babblers (Timaliidae)","339","Pin-striped Tit-Babbler","Mixornis gularis","Kekicau-Berjalur Biasa","纹胸鹛","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","340","Chestnut-winged Babbler","Cyanoderma erythropterum","Kekicau-Kantan Kelip","红翅穗鹛","","A","Res","CR","","","","","","","","","","","","","","","","","",""
"Ground Babblers (Pellorneidae)","341","Moustached Babbler","Malacopteron magnirostre","Kekicau-Cangkuk Bermisai","须树鹛","Yes","A","Ex","CR","","","","","","","","","","","","","","","","","",""
"","342","Short-tailed Babbler","Pellorneum malaccense","Kekicau Ekor Pendek Biasa","短尾雅鹛","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","343","White-chested Babbler","Pellorneum rostratum","Kekicau-Telunjuk Dada Putih","白胸雅鹛","Yes","A","Res","CR","","","","","","","","","","","","","","","","","",""
