"Family","No.","English Name","Scientific Name","Malay Name","Chinese Name","Review Species","Category","Local Status","RDB 3 Status","","","","","","","","","","","","","","","","","",""
"","39","Plaintive Cuckoo","Cacomantis merulinus","Matinak Biasa","八声杜鹃","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","40","Rusty-breasted Cuckoo","Cacomantis sepulcralis","Matinak Dada Jingga Biasa","锈胸杜鹃","","A","Res","NT","","","","","","","","","","","","","","","","","",""
"","41","Square-tailed Drongo-Cuckoo","Surniculus lugubris","Sewah Sawai Biasa","乌鹃","","A","Res/Mi","VU","","","","","","","","","","","","","","","","","",""
"","42","Large Hawk-Cuckoo","Hierococcyx sparverioides","Sewah-Tekukur Besar","大鹰鹃","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","43","Malaysian Hawk-Cuckoo","Hierococcyx fugax","Sewah-Tekukur Melayu","马来棕腹鹰鹃","","A","Mi/Vis","NT","","","","","","","","","","","","","","","","","",""
"","44","Hodgson's Hawk-Cuckoo","Hierococcyx nisicolor","Sewah-Tekukur Cina Selatan","棕腹鹰鹃","","A","Mi","NT","","","","","","","","","","","","","","","","","",""
"","45","Indian Cuckoo","Cuculus micropterus","Sewah Biasa","四声杜鹃","","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"","46","Himalayan Cuckoo","Cuculus saturatus","Sewah Gunung Asia","中杜鹃","Yes","A","Mi","LC","","","","","","","","","","","","","","","","","",""
"Pigeons, Doves (Columbidae)","47","Rock Dove","Columba livia","Merpati Biasa","原鸽","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","48","Oriental Turtle Dove","Streptopelia orientalis","Tekukur Emas Asia","山斑鸠","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","49","Red Collared Dove","Streptopelia tranquebarica","Tekukur Merah","火斑鸠","","C","Intr","NA","","","","","","","","","","","","","","","","","",""
"","50","Spotted Dove","Spilopelia chinensis","Tekukur Jerum Timur","珠颈斑鸠","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","51","Common Emerald Dove","Chalcophaps indica","Punai-Tanah Biasa","绿翅金鸠","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","52","Zebra Dove","Geopelia striata","Merbuk Biasa","斑姬地鸠","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","53","Cinnamon-headed Green Pigeon","Treron fulvicollis","Punai Bakau","棕头绿鸠","Yes","A","Vis","EN","","","","","","","","","","","","","","","","","",""
"","54","Little Green Pigeon","Treron olax","Punai Kecil","小绿鸠","Yes","A","Vis/Ex","CR","","","","","","","","","","","","","","","","","",""
"","55","Pink-necked Green Pigeon","Treron vernans","Punai Kocok","红颈绿鸠","","A","Res","LC","","","","","","","","","","","","","","","","","",""
"","56","Orange-breasted Green Pigeon","Treron bicinctus","Punai Siam","橙胸绿鸠","Yes","A","Vis","LC","","","","","","","","","","","","","","","","","",""
"","57","Ashy-headed Green Pigeon","Treron phayrei","Punai Ara Indochina","灰头绿鸠","Yes","A","Vagr","NE","","","","","","","","","","","","","","","","","",""
"","58","Thick-billed Green Pigeon","Treron curvirostra","Punai Ara Biasa","厚嘴绿鸠","","A","Res","VU","","","","","","","","","","","","","","","","","",""
"","59","Jambu Fruit Dove","Ptilinopus jambu","Punai-Gading Jambu","粉头果鸠","","A","Vis","VU","","","","","","","","","","","","","","","","","",""
"","60","Green Imperial Pigeon","Ducula aenea","Pergam Daun Biasa","绿皇鸠","","A","Res","EN","","","","","","","","","","","","","","","","","",""
